date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:52	91350/91350	---M-Z	200	added ('OK')	text/html	etag:%22164d6-61f78729a1315-gzip%22	https://mannatthemes.com/rizz/default/index.html	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/index.html	(from )
17:32:53	279/279	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2014:32:52%20GMT	https://mannatthemes.com/robots.txt		(from )
17:32:53	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-61f7872991915-gzip%22	https://mannatthemes.com/rizz/default/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://mannatthemes.com/rizz/default/index.html)
17:32:54	288935/288935	---M-Z	200	added ('OK')	text/css	etag:%22468a7-61f787296c755-gzip%22	https://mannatthemes.com/rizz/default/assets/css/bootstrap.min.css	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/css/bootstrap.min.css	(from https://mannatthemes.com/rizz/default/index.html)
17:32:54	178961/178961	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222bb11-61f7872986d35%22	https://mannatthemes.com/rizz/default/assets/images/favicon.ico	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/images/favicon.ico	(from https://mannatthemes.com/rizz/default/index.html)
17:32:55	79159/79159	---M-Z	200	added ('OK')	text/css	etag:%2213537-62031260f2573-gzip%22	https://mannatthemes.com/rizz/default/assets/css/app.min.css	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/css/app.min.css	(from https://mannatthemes.com/rizz/default/index.html)
17:32:55	2323/2323	---M--	200	added ('OK')	image/jpeg	etag:%22913-61f7872986d35%22	https://mannatthemes.com/rizz/default/assets/images/flags/us_flag.jpg	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/images/flags/us_flag.jpg	(from https://mannatthemes.com/rizz/default/index.html)
17:32:55	2006/2006	---M--	200	added ('OK')	image/jpeg	etag:%227d6-61f7872986d35%22	https://mannatthemes.com/rizz/default/assets/images/flags/spain_flag.jpg	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/images/flags/spain_flag.jpg	(from https://mannatthemes.com/rizz/default/index.html)
17:32:55	2906847/2906847	---MCZ	200	added ('OK')	text/css	etag:%222c5adf-61f787296e695-gzip%22	https://mannatthemes.com/rizz/default/assets/css/icons.min.css	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/css/icons.min.css	(from https://mannatthemes.com/rizz/default/index.html)
17:32:55	1536/1536	---M--	200	added ('OK')	image/jpeg	etag:%22600-61f7872986d35%22	https://mannatthemes.com/rizz/default/assets/images/flags/germany_flag.jpg	C:/Users/Orange/Desktop/temp/daaaaa/mannatthemes.com/rizz/default/assets/images/flags/germany_flag.jpg	(from https://mannatthemes.com/rizz/default/index.html)
