date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:02	114038/114038	---M-Z	200	added ('OK')	text/html	etag:%221bd76-617feae3fcb40-gzip%22	https://themetechmount.com/html/nutricare/header-classic.html	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/header-classic.html	(from )
10:01:04	122/122	---M--	200	added ('OK')	text/plain	date:Thu,%2010%20Oct%202024%2007:01:02%20GMT	https://themetechmount.com/robots.txt		(from )
10:01:04	7980/7980	---M--	200	added ('OK')	image/png	etag:%221f2c-617feaf0e29be%22	https://themetechmount.com/html/nutricare/images/favicon.png	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/images/favicon.png	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:05	155764/155764	---M--	200	added ('OK')	text/css	etag:%2226074-617feb008b93e%22	https://themetechmount.com/html/nutricare/css/bootstrap.min.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/bootstrap.min.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:05	73493/73493	---M--	200	added ('OK')	text/css	etag:%2211f15-617feb004d132%22	https://themetechmount.com/html/nutricare/css/animate.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/animate.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:06	10406/10406	---M--	200	added ('OK')	text/css	etag:%2228a6-617feb010c7d5%22	https://themetechmount.com/html/nutricare/css/owl.carousel.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/owl.carousel.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:06	39752/39752	---M--	200	added ('OK')	text/css	etag:%229b48-617feb00cb0e9%22	https://themetechmount.com/html/nutricare/css/font-awesome.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/font-awesome.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:06	17532/17532	---M--	200	added ('OK')	text/css	etag:%22447c-617feb01c8f98%22	https://themetechmount.com/html/nutricare/css/themify-icons.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/themify-icons.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:06	3343/3343	---M--	200	added ('OK')	text/css	etag:%22d0f-617feb004d132%22	https://themetechmount.com/html/nutricare/css/flaticon.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/css/flaticon.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
10:01:07	147713/147713	---M--	200	added ('OK')	text/css	etag:%2224101-617feb0570904%22	https://themetechmount.com/html/nutricare/revolution/css/layers.css	C:/Users/Orange/Desktop/proj8/themetechmount.com/html/nutricare/revolution/css/layers.css	(from https://themetechmount.com/html/nutricare/header-classic.html)
